id,text,favorite_count,retweet_count,lang,source,created_y,created_m,created_d,created_h,created_min,coordinates
1243930849961263105,b'Myth or Fact: Taking a hot bath does not prevent the new coronavirus disease?\n:\n:\nRead the AD to find out! #coronavirus #COVID19 @who https://t.co/cvNcgr0Ht4',0,0,en,HubSpot,2020,3,28,16,0,
1243924201666482183,b'@WHONigeria @WHO @WHOAFRO @NCDCgov @UN_Nigeria @BrakaFiona @ibrodoc_03 @CWarigon @Dr_Okudo @DhamariNaidoo Does warm bath and taking hot drinks prevent infection with Covid-19? \nI need your response pls!',1,0,en,Twitter for Android,2020,3,28,15,33,
1243871887584710656,"b'Do you know? Taking a hot bath DOES NOT prevent thr new coronavirus disease. Visit our page for more information and latest updates about COVID19 ""https://t.co/AcznaNrb7O"".\n#ImmunifyMe #COVID19 #MythBusting #KnowTheFacts #StayHome #StaySafe #StayConnected\n #DoYouKnow https://t.co/A7DxVaVxrb'",0,0,en,Twitter Web App,2020,3,28,12,5,
1243854231041277954,b'Here are 5 health benefits of taking hot showers that will make you happy https://t.co/xxmqv2LPq9 #shower #bath #wellness #joy #lifestyle #inthetimesofcoronavirus #coronavirus',0,0,en,Twitter Web Client,2020,3,28,10,55,
1243843214714552321,"b""The World Health Organization has also advised that taking a hot bath will not prevent the corona virus from infecting you. A person's normal body temperature remains 36.5 to 37 degrees no matter the situation.\n\n#COVID19SouthAfrica""",0,0,en,Twitter Web App,2020,3,28,10,11,
1243729679103619072,b'Taking a hot bath does not prevent the new coronavirus disease.\nYou can help us share these images.\nhttps://t.co/dqig6prJzA\n#COVID19 #CORONAVIRUS https://t.co/zP0wCweYHR',0,0,en,Twitter for iPhone,2020,3,28,2,40,
1243686182137008128,b'I been taking a long hot bath every day since this coronavirus shit started',2,0,en,Twitter for iPhone,2020,3,27,23,47,
1243667577647312896,b'\xf0\x9f\x9b\x80 Taking a hot bath DOES NOT prevent the coronavirus\n\n\xf0\x9f\x92\xa8 Hand dryers are NOT effective in killing the coronavirus\n\n\xf0\x9f\x9f\xa3 Ultraviolet light SHOULD NOT be used for sterilization and can cause skin irritation',0,0,en,Twitter for Android,2020,3,27,22,33,
1243644010167701504,b'#Mythbusters #COVID19UG \nTaking a hot bath does not prevent the new coronavirus disease\n#BeInformed\n#StaySafeStayHome \n#coronakindness https://t.co/wXovo63bjO',0,0,en,Twitter Web App,2020,3,27,21,0,
1243632002085126145,b'@NCDCgov @bethelpat36 Does warm bath and taking hot drinks prevent infection with Covid-19?',0,0,en,Twitter for Android,2020,3,27,20,12,
