text,response
"#Coronavirus disease (#COVID19) advice for the public: #Mythbusters

Taking a hot bath does not prevent the new #coronavirusdisease! 

Taking a hot bath will not prevent you from https://t.co/vTUPhE9FqV",0
"@WhiteHouse @realDonaldTrump We don't have infected patients  so much in Japan  Japanese people  take a bath every day  ,  and we soak and warm ourselves up in the bath tab.  Virus is very weak in the hot and humid air. So I think  taking  a bath and relaxing are effective  coronavirus prevention.",1
"Taking a hot water bath does not #prevent #coronavirus disease.Our body temperature remains around 36.5°C to 37°C regardless of temperature of water:#WHO

#Best protection from   #Covid_19 is frequent washing of our  hands. #mask use must.

#Stayhome #SocialDistancing #StaySafe https://t.co/kngWqfRxEg",2
"Myth busters on coronavirus 2019. Advice by WHO 
1.Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19)
2.Taking a hot bath does not prevent the new coronavirus disease 
https://t.co/NOjuM5O8cV",0
The World Health Organization has also advised that taking a hot bath will not prevent the coronavirus from infecting you. A person's normal body temperature remains 36.5 to 37 degrees no matter the situation.  #COVID19SouthAfrica,0
"The @WHO says taking a hot bath will not prevent #COVID19. Protect yourself by cleaning hands and avoid touching eyes, mouth and nose. #FlattenTheCurveGA #FlattenTheCurve #PublicHealth    For coronavirus info: https://t.co/yH2ZkvMmtQ https://t.co/z1vYFN2ktv",0
Taking a hot bath will not prevent you from catching COVID-19. #nicasia #coronavirus #myth #besafe https://t.co/CoOGj6tOMn,0
WHO Myth-busters about Coronavirus:  Taking a hot bath DOES NOT prevent the coronavirus.  #COVID19   #OurtvIsHere,0
Can drinking garlic water help prevent coronavirus infection? @DrMichaelWebMD answers your questions: https://t.co/4HBnO9sN6U https://t.co/e6zxNTi6MT,3
"COVID19 FAQs: Will taking hot baths prevent Corona Virus?
•
•
Response: Taking a hot bath will NOT prevent coronavirus. Your body temperature will remain between 36.5°C to 37°C. Taking a bath with extremely hot water is harmful and will burn you.

#StayHome
#lockdownZim https://t.co/hmyyH20DRe",0
COVID-19 Myth-busters  There's a lot of false information around: These are the facts  Taking a hot bath DOES NOT prevent the coronavirus  #RiversCovid19 #coronavirus https://t.co/b4y2gfCw6k,0
"You may have heard that eating garlic prevents #COVID-19 infection? Or that taking a steaming, hot bath will protect you from the novel #coronavirus? https://t.co/BpLfZ0XRN1",2
Many in the East are taking these measures religiously to prevent #coronavirus:  1) Take one shot of hot drink (kaikai) daily 2) Wash your hands with Sanitizer (soap is not effective) 3) Bath with very hot water daily  Misinformation everywhere.   Pls follow @NCDCgov guidelines,0
Know The Facts on #COVID19. Taking a hot bath does not prevent from the #coronavirus  The best way to protect yourself against COVID-19 is by frequently cleaning your hands,0
"Do you know? Taking a hot bath DOES NOT prevent thr new coronavirus disease. Visit our page for more information and latest updates about COVID19 ""https://t.co/AcznaNrb7O"". #ImmunifyMe #COVID19 #MythBusting #KnowTheFacts #StayHome #StaySafe #StayConnected  #DoYouKnow https://t.co/A7DxVaVxrb",0
&gt;&gt; Taking a hot bath does not prevent the new coronavirus disease: https://t.co/7aKu4XNq2V  Hearing and reading all sorts about #CoronaVirus &amp; #COVID19 but not sure what to believe? The @WHO are setting the story straight with their 'myth buster' series.  #2019nCoV https://t.co/UBXlLk55K9,0
"#CoronaMisinformation #Thread   Can garlic, hot water, or masks prevent the spread of Covid-19? Heres what doctors say   https://t.co/s39fSy172Q  - @qzindia  #IndiaFightsCOVID19",0
"A post shared repeatedly on Facebook claims that taking a hot bath is an effective remedy against the novel #coronavirus, #COVID19. The claim is misleading. #FakeNews #CoronaVirusFacts #Covid19India   https://t.co/XaP0XH4Iph",2
Q: Does taking a hot bath prevent #coronavirus?  A: No. Taking a hot bath will not prevent you from catching coronavirus. https://t.co/fZhB3r5ILM,0
Taking a hot bath does not prevent the new coronavirus disease. https://t.co/x2xxU5kU14,0
Taking a hot bath does not prevent the new coronavirus disease ?  Check Myths About Coronavirus Answered By WHO  #coronavirusmyths #coronavirus #coronavirusindia #aboutcoronavirus #metrozone #metrozonegroup https://t.co/QQLkZqe17J,0
#CoronavirusAlert: [Myth busters] Taking a hot bath prevents the new coronavirus disease.... just take a look ......... https://t.co/1R0WocYG47,2
"A home-spa day can be really pleasant, but taking a hot bath will not protect you from the new #coronavirus.  Don't spread rumors.  The fight against #COVID19 is also a fight against disinformation.  #ShareInformation #ShareKnowledge #CoronavirusLockdown https://t.co/GCUNktMToq",0
@WHONigeria @WHO @WHOAFRO @NCDCgov @UN_Nigeria @BrakaFiona @ibrodoc_03 @CWarigon @Dr_Okudo @DhamariNaidoo Does warm bath and taking hot drinks prevent infection with Covid-19?  I need your response pls!,2
Taking a hot bath does not prevent the new coronavirus disease. Facts about COVID-19 from the World Health Organization. #KnowTheFacts #AvoidTheHype @WHO #globalhealth #COVID19 #healthcare #health #2019nCoV #coronavirus https://t.co/iEa2JpMbRc,0
"Can taking a hot bath prevent #coronavirus? 

NO. 

#WHO_Facts 
@WHO 

#COVID19 https://t.co/P15d20cdFg",0
"A lot of myths are shared by people on the internet such as garlic water, bat soup remedy, hot water bath, weird self-test, etc. You will find a lot of myths and false messages related to coronavirus infection.  https://t.co/Fl1LRmM7R2 #COVID19  #coronavirus #CoronaVirusOutbreak",0
Hey @thedailyviper #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots #coronavirus #WHO,0
#NAME?,3
"WHO Myth busters: Taking a hot bath does not prevent the new coronavirus disease

https://t.co/gFYjxkUYn3",2
Myth busters- Part 3  Taking a hot bath does not prevent the new coronavirus disease   #StayAtHomeSaveLives https://t.co/ZXNA5H7vSg,0
Coronavirus disease (COVID-19) advice for the public: Myth busters  Taking a hot bath does not prevent the new coronavirus disease Source : https://t.co/zYY7MfQqTU #who #mythbuster #localhulchul #knowledgehulchul #spreadawareness #stayprotected #coronavirus-19 https://t.co/VvsujsaKtw,2
@mackyquiobe Same :( but can't actually make a big deal out of it because of the current coronavirus-19 scare. How do you deal with face skin care in a time like this? Me... I make sure I always take a hot bath. And wash my face with cold water after. I even left my moisturizer and lotion. :(,3
"Taking a hot bath DOES NOT prevent #coronavirus.  We must observe all measures recommended by health authorities (@NCDCgov, @WHONigeria/ @Fmohnigeria) to ensure we all play our part to contain spread of #COVID19. #TakeResponsibility #StayHome #StaySafe https://t.co/FkmUI59CsO",0
"8. Taking a hot bath does not prevent the new coronavirus disease

9. The new coronavirus CANNOT be transmitted through mosquito bites.

10. Are hand dryers effective in killing the new coronavirus? No!

Credit: WHO, NCDC

#RosebudSchools #Tips #Ncdc #Education",0
"Whoever made the BC going round that drinking hot water with garlic will prevent coronavirus,  God will punish you",0
Myths about the Corona Virus  1. Taking ice cream and other cold foods do not facilitate or aid the onset of the disease. 2. Taking a hot bath does not prevent the new coronavirus disease. 3. The new coronavirus CANNOT be transmitted via mosquito bites. https://t.co/RBZy4aA12F,1
"A lot of myths are shared by people on the internet such as garlic water, bat soup remedy, hot water bath, weird self-test, etc. You will find a lot of myths and false messages related to coronavirus infection.  https://t.co/Vrnqqoe326 #COVID19 #coronavirus #coronavirusoutbreak",0
Taking a hot bath DOES NOT prevent the coronavirus   Hand dryers are NOT effective in killing the coronavirus,0
